Iteration: 1, total timesteps: 1000, total time: 7.7, FPS: 130.0, mean reward: -7.6, min/max reward: -23.5/7.6
Iteration: 2, total timesteps: 1400, total time: 10.0, FPS: 140.4, mean reward: -7.6, min/max reward: -23.5/7.6
Iteration: 3, total timesteps: 1800, total time: 13.8, FPS: 130.5, mean reward: -8.9, min/max reward: -24.3/7.6
Iteration: 4, total timesteps: 2200, total time: 17.6, FPS: 125.3, mean reward: -8.7, min/max reward: -26.2/26.6
Iteration: 5, total timesteps: 2600, total time: 21.0, FPS: 123.7, mean reward: -9.4, min/max reward: -29.8/26.6
Iteration: 6, total timesteps: 3000, total time: 24.1, FPS: 124.2, mean reward: -9.4, min/max reward: -29.8/26.6
Iteration: 7, total timesteps: 3400, total time: 27.4, FPS: 124.3, mean reward: -10.2, min/max reward: -29.8/26.6
Iteration: 8, total timesteps: 3800, total time: 29.1, FPS: 130.6, mean reward: -10.2, min/max reward: -29.8/26.6
Iteration: 9, total timesteps: 4200, total time: 32.0, FPS: 131.4, mean reward: -10.2, min/max reward: -29.8/43.4
Iteration: 10, total timesteps: 4600, total time: 35.2, FPS: 130.6, mean reward: -10.3, min/max reward: -29.8/43.4
Iteration: 11, total timesteps: 5000, total time: 38.4, FPS: 130.1, mean reward: -10.6, min/max reward: -29.8/43.4
Iteration: 12, total timesteps: 5400, total time: 41.7, FPS: 129.6, mean reward: -8.9, min/max reward: -29.8/55.2
Iteration: 13, total timesteps: 5800, total time: 45.3, FPS: 128.1, mean reward: -9.5, min/max reward: -29.8/55.2
Iteration: 14, total timesteps: 6200, total time: 47.4, FPS: 130.8, mean reward: -9.5, min/max reward: -29.8/55.2
Iteration: 15, total timesteps: 6600, total time: 51.1, FPS: 129.2, mean reward: -9.2, min/max reward: -29.8/55.2
Iteration: 16, total timesteps: 7000, total time: 55.0, FPS: 127.4, mean reward: -9.2, min/max reward: -35.7/55.2
Iteration: 17, total timesteps: 7400, total time: 58.7, FPS: 126.2, mean reward: -8.8, min/max reward: -35.7/55.2
Iteration: 18, total timesteps: 7800, total time: 62.3, FPS: 125.2, mean reward: -8.4, min/max reward: -35.7/55.2
Iteration: 19, total timesteps: 8200, total time: 65.9, FPS: 124.3, mean reward: -9.0, min/max reward: -35.7/55.2
Iteration: 20, total timesteps: 8600, total time: 68.0, FPS: 126.4, mean reward: -9.0, min/max reward: -35.7/55.2
Iteration: 21, total timesteps: 9000, total time: 71.7, FPS: 125.6, mean reward: -8.9, min/max reward: -35.7/55.2
Iteration: 22, total timesteps: 9400, total time: 75.3, FPS: 124.8, mean reward: -9.3, min/max reward: -35.7/55.2
Iteration: 23, total timesteps: 9800, total time: 78.9, FPS: 124.1, mean reward: -9.5, min/max reward: -35.7/55.2
Iteration: 24, total timesteps: 10200, total time: 82.6, FPS: 123.4, mean reward: -9.1, min/max reward: -35.7/55.2
Iteration: 25, total timesteps: 10600, total time: 86.3, FPS: 122.8, mean reward: -10.0, min/max reward: -35.7/55.2
Iteration: 26, total timesteps: 11000, total time: 88.4, FPS: 124.4, mean reward: -10.0, min/max reward: -35.7/55.2
Iteration: 27, total timesteps: 11400, total time: 91.5, FPS: 124.6, mean reward: -10.5, min/max reward: -35.7/55.2
Iteration: 28, total timesteps: 11800, total time: 94.6, FPS: 124.7, mean reward: -11.1, min/max reward: -35.7/53.8
Iteration: 29, total timesteps: 12200, total time: 97.8, FPS: 124.7, mean reward: -11.1, min/max reward: -35.7/53.8
Iteration: 30, total timesteps: 12600, total time: 101.0, FPS: 124.8, mean reward: -11.9, min/max reward: -30.2/53.8
Iteration: 31, total timesteps: 13000, total time: 104.3, FPS: 124.7, mean reward: -11.8, min/max reward: -30.2/53.8
Iteration: 32, total timesteps: 13400, total time: 106.1, FPS: 126.3, mean reward: -11.8, min/max reward: -30.2/53.8
Iteration: 33, total timesteps: 13800, total time: 109.3, FPS: 126.3, mean reward: -12.2, min/max reward: -30.2/42.0
Iteration: 34, total timesteps: 14200, total time: 112.8, FPS: 125.9, mean reward: -13.1, min/max reward: -30.2/42.0
Iteration: 35, total timesteps: 14600, total time: 116.6, FPS: 125.2, mean reward: -13.2, min/max reward: -29.1/42.0
Iteration: 36, total timesteps: 15000, total time: 120.2, FPS: 124.8, mean reward: -13.5, min/max reward: -29.1/42.0
Iteration: 37, total timesteps: 15400, total time: 124.0, FPS: 124.2, mean reward: -11.7, min/max reward: -29.1/43.1
